"","X","loc","Number","Longitude","Latitude","hs1985","hs1986","hs1987","hs1988","hs1989","hs1990","hs1991","hs1992","hs1993","hs1994","hs1995","hs1996","hs1997","hs1998","hs1999","hs2000","hs2001","hs2002","hs2003","hs2004","hs2005","hs2006","hs2007","hs2008","hs2009","hs2010","hs2011","hs2012","hs2013","hs2014","hs2015","hs2016","hs2017","hs2018","hs2019","hs.means","hs.freqs"
"300",300,"82_-18.479_146.873",82,146.873,-18.479,1.47723472435923,0.894064639202634,2.64313234921395,0.848095106129684,1.1979269685002,1.95722524655493,1.03882714074224,1.02684127562495,0.715327936782831,1.87402288662863,2.66000554823506,1.29206525707442,1.12435973515334,1.92436339527025,1.32363908859145,-0.103569162368687,1.71883098492783,1.83079809206282,0.832519031178745,1.26086805829521,1.63810087754897,1.20449192157944,0.953232311608798,0.946717624335893,1.30402675875389,1.94116893326479,1.28963105719798,1.32400028379018,2.04083209926871,0.488831012420475,1.36572891842984,1.55849608643559,1.72243802081622,0.955997735555459,0.89526744634309,1.34758683970026,25
"301",301,"82_-18.553_146.488",82,146.488,-18.553,1.14978917084957,0.679339543724125,2.18288784894419,1.02379910939856,1.11545332201948,1.17021875331022,0.606136766694863,1.29650029505816,0.988659160437738,2.03204227843813,2.05553138886528,1.57119555009347,0.432050230719311,2.11985175291725,1.59673903306754,-0.0993426136067868,1.41390169443399,1.27890697995667,0.913633914355775,1.50465523753894,1.46528209232751,1.19900314270338,0.688046313631967,0.957905615991681,0.993997864780291,1.53819301060568,1.3326555560223,1.31939314135178,1.59107488279171,0.616341545549897,1.40190951743281,1.67511386318601,1.77033338238653,0.76505127977722,0.939796683635173,1.23674420883973,23
"302",302,"82_-18.58_146.497",82,146.497,-18.58,1.17938910668032,0.60843710300405,2.16372102553441,1.03583897459103,1.10819667923013,1.19390831902317,0.631232958809352,1.29493322064269,0.961682438009247,2.07517183750602,2.05778771529614,1.53715543255225,0.421953848326393,2.15543510106749,1.55559523446021,-0.106519336325191,1.4128285886859,1.30127411790332,0.931243140524306,1.48983858632725,1.47055500758071,1.20980314291983,0.690429724505808,0.94579270832282,0.985797801638989,1.54979294689977,1.34683903065899,1.34091322088965,1.58734779745248,0.618677792601102,1.38319698818015,1.67492061523469,1.76698958302595,0.762235427394483,0.921317078766978,1.23610608451203,23
"303",303,"82_-18.581_146.48",82,146.48,-18.581,1.14218910878349,0.598917268692918,2.16756110790006,1.03231893350331,1.09699667980941,1.15414840387243,0.607112918870483,1.34037330070849,0.970042354885957,2.11569187666461,2.01598771759708,1.52187547460615,0.401073890756415,2.1387150607428,1.53959523523833,-0.104359419069125,1.37390854951868,1.2810340364909,0.94192309866817,1.485118545246,1.4536750498162,1.22060314234271,0.655309685145138,0.920992709667279,0.978397802024815,1.52579294823991,1.34351898957019,1.31795330478352,1.54586784103135,0.611037710428897,1.37299698875403,1.67696049121174,1.73158958494645,0.746915593460551,0.911557161897816,1.22381123276592,23
"304",304,"82_-18.594_146.486",82,146.486,-18.594,1.15798910802677,0.591854271628372,2.16232960952957,1.03683468264779,1.08759667967696,1.17231690458215,0.616228667623873,1.33114180309213,0.952273853624668,2.13817612798499,2.01738771685697,1.49995972525028,0.397158141181381,2.15323080958916,1.51319523513652,-0.111927920507513,1.37222429808613,1.30006553448174,0.949438848040652,1.4740342944746,1.45635930026662,1.2248031425032,0.657625433752061,0.916392709264763,0.972997801931844,1.53159294778131,1.35063473870065,1.32752180584484,1.54655209106523,0.612269208759912,1.37659698855148,1.67270773898535,1.72538958436942,0.755252596190861,0.911125663257256,1.22426657549234,23
"305",305,"82_-18.599_146.49",82,146.49,-18.599,1.16778910752629,0.588838648837765,2.15932179824409,1.03923858826533,1.0849966795689,1.18270909269538,0.622432572976758,1.32253399232517,0.945081665127933,2.14277222273663,2.02198771634385,1.49255581945624,0.397354235264965,2.16083471501588,1.5043952350212,-0.114520109110444,1.37562820329135,1.310073345526,0.951642753822043,1.4704382001245,1.45875539437904,1.22540314262205,0.662229338991495,0.916992708976674,0.971597801858008,1.53619294747165,1.35403864431279,1.33291399418851,1.55054818488416,0.614077020011171,1.37899698841646,1.67171945604496,1.7263895839571,0.758836973283272,0.911317851791743,1.22560327183568,23
"306",306,"82_-18.612_146.483",82,146.483,-18.612,1.15498910837874,0.577863717581745,2.15863433241215,1.04018232121368,1.06779667987532,1.17162162784538,0.612376306411745,1.3490465254919,0.933169130742955,2.19482848879025,1.99218771735919,1.46121208702794,0.378810502910073,2.16137844825126,1.46759523550455,-0.121432643379949,1.34437193712554,1.31156081170973,0.965986486413245,1.45578193315698,1.44941166190331,1.23740314234367,0.63757307271888,0.894192709598172,0.960997802057614,1.52379294803706,1.35758237724712,1.32622652895868,1.52100445301591,0.60816448594993,1.37479698865276,1.66715065464504,1.69418958484295,0.75806204211468,0.905030386274877,1.21695827409094,23
"307",307,"82_-18.632_147.055",82,147.055,-18.632,1.40339803698926,1.17062678233991,2.71083485058541,0.721200854907494,1.51739441022691,1.73331785389571,1.02360259020347,0.850679162357962,0.592553169745418,1.8673566253617,2.7586850379573,1.09216937006557,0.653214188336377,2.09608411854427,1.16936425485351,-0.211281042024356,1.44560557302807,1.65436692029135,0.739155463572757,1.23959660086142,1.48143850535078,1.0309211146355,0.96456114078267,0.873436524102616,1.20896088253702,1.84080208008438,1.34851936548144,1.20396818056047,1.72112956734178,0.480958903971063,1.39191350946064,1.42255813828853,1.66228338667622,0.860398730566664,0.838808718952113,1.27310238773975,24
"308",308,"82_-18.66_147.711",82,147.711,-18.66,1.32596569874022,1.01140291970802,2.81739786999867,1.10023242238258,1.18703906455989,1.49765177623609,0.852044271261897,0.824363832796393,0.955761889413223,1.95759682405758,1.8488979665865,1.09855737242218,0.478238205115762,1.05636357444802,1.14636357243637,0.0536779585612882,1.43599984132152,1.39872767118072,1.02815398864633,1.56031914629578,1.27867761472695,0.958159505878589,0.501761772979531,1.14999445862786,1.10140291769636,1.3581985247386,1.26860191209073,1.28631902583878,1.40800022169151,0.572641082029637,1.47760723321478,1.77754740185183,1.57535849021467,0.98676144568548,0.593675416472314,1.19798465399733,25
"309",309,"82_-18.748_147.721",82,147.721,-18.748,1.28020366118444,1.03620317341538,2.80533580373879,0.939930263449959,1.12276918846793,1.541504650544,0.828235459659218,0.837802923493287,0.962033389206887,1.89459663389779,1.97244977913769,1.07533584240731,0.449933661746079,1.03517445446386,1.11393978570035,0.0288282732059491,1.38743331610929,1.38954566397937,0.914531456721452,1.51079870993806,1.21394091257977,0.91693784982032,0.526570521676135,0.97766913485818,1.05320172597496,1.24153338969576,1.21283325642273,1.19159971900898,1.42240184490104,0.50743220666423,1.47763926212148,1.72929402005499,1.54459889995008,0.899034201783786,0.528395726087665,1.15913339320192,22
"310",310,"82_-18.798_147.529",82,147.529,-18.798,1.32693748801916,1.07693312802478,2.85680131933207,0.630195664584224,1.29434219263009,1.70890389613271,0.976803980702736,0.895032371433027,0.995337750466034,1.79233566762498,2.22363571729587,1.10760035779576,0.441967279888903,1.32397377404861,1.23797051903389,-0.150235772535092,1.41000084160051,1.5693336075827,0.784663955980791,1.41356525690399,1.5561750882863,1.04680223290519,0.699742142161675,0.891967269830619,1.06656820280323,1.39697671056011,1.19969721125912,1.16466394748713,1.50790090761859,0.533003799346164,1.5681670634401,1.73833892576894,1.51036356165514,0.921599724365602,0.593778984816021,1.20890985053856,23
"311",311,"82_-18.822_147.645",82,147.645,-18.822,1.24632163549267,1.1273603157771,2.85924217251843,0.734674358363818,1.1706870040693,1.62604399259712,0.883764071544421,0.868602921007426,0.94756087433559,1.79003768001255,2.19156515260737,1.13676037940715,0.416960950035584,1.18560824022657,1.17776306355224,-0.0814841518328257,1.37320184446781,1.47736868233931,0.790637638510721,1.44955785885271,1.37629025909673,0.988445090916056,0.606203182233164,0.876398723629523,1.02852083046059,1.25196425483499,1.15711876090446,1.16095993198512,1.44728292836357,0.452519841914423,1.50112275889854,1.66152213693351,1.51271700547528,0.874161813556817,0.420114790501147,1.16250219981683,22
