,Name.long,Name.lat,BO2_tempmean_ss,BO2_ppmean_ss
210,134.54426,7.2619,29.21894836,0.001953381
211,134.50295,7.2874,29.21894836,0.001953381
212,134.23141,7.307,29.20373917,0.002073117
213,134.61971,7.3623,29.2227211,0.001883865
214,134.34557,7.4183,29.19307899,0.002017233
215,134.64202,7.4297,29.21059227,0.001873801
216,134.4011,7.5307,29.18284607,0.00197606
217,134.46864,7.561,29.18521309,0.001928971
218,134.64929,7.586,29.19067574,0.001792603
219,134.6497,7.6678,29.19231415,0.001792552
220,134.56752,7.7224,29.18667221,0.001855092
221,134.508,7.8018,29.1752739,0.001847297
222,134.66043,7.815,29.17811775,0.00179558
223,134.50802,7.8602,29.16874886,0.001754526
224,134.68135,7.8788,29.18828583,0.001740315
225,134.70319,7.9886,29.18175507,0.001733126
226,134.65965,7.9902,29.17721367,0.001713398
227,134.5361,8.0014,29.16905975,0.001684337
228,134.6863,8.0421,29.17933464,0.001688804
229,73.15,-0.57,29.2927227,0.002117025
230,146.51,-18.61,25.75047112,0.019327182
231,113.69,-22.74,NA,NA
232,151.91,-23.44,24.12170219,0.008070908
233,55.49,-4.63,28.06665039,0.008625118
234,150.54,-5.16,29.81444359,0.010441658
235,166.79,11.34,28.35919762,0.002141723
236,128.06,26.74,24.86465836,0.006278011
237,171.68,7.08,28.69247627,0.008050526
238,171.19,7.11,28.74863815,0.007620802
239,151.73,7.42,29.24272728,0.001191472
240,144.6767,13.2511,28.94090843,0.000900795
241,144.6494,13.3785,28.94033432,0.000963953
242,144.6472,13.4646,28.93844795,0.000975759
243,144.7402,13.4803,28.93616104,0.000965345
244,144.7949,13.5094,28.9242115,0.000968052
245,144.8192,13.548,28.9242115,0.000968052
246,145.751,15.1778,28.82949638,0.001076275
247,123.83,24.269,26.30366898,0.005024207
248,124.016,24.301,26.22172928,0.005195444
249,123.696,24.332,26.3867836,0.004956235
250,124.094,24.342,26.12090302,0.005414425
251,123.79,24.431,26.29492569,0.005277739
252,124.326,24.609,26.18486977,0.005820779
253,125.342,24.719,26.02470779,0.006184731
254,125.233,24.932,25.98201561,0.007299482
255,127.575,26.267,25.15594292,0.006490408
256,127.744,26.296,25.11400795,0.006000769
257,126.877,26.356,25.45908356,0.006750425
258,127.773,26.444,25.02858734,0.00639062
259,127.864,26.632,24.86181068,0.006395749
260,129.404,28.374,24.41306114,0.006860903
261,129.716,28.474,24.51032448,0.007143388
262,127.32,26.15,25.41387367,0.005644321
263,142.16,26.61,24.67499352,0.002703271
264,127.86,26.65,24.86181068,0.006395749
265,142.11,26.7,24.70448685,0.002761356
266,128.29,26.86,24.80558586,0.005977617
267,142.18,27.05,24.40870476,0.003219543
268,-169.53,16.73,26.66694069,0.000602885
269,-166.8,23.44,25.59996033,0.000532343
270,123.24,-12.37,28.63862991,0.003431464
271,121.89,-14.04,28.69052696,0.002297212
